mep_id;name;profile_url;email;x_url;x_handle;political_group;country;national_party;country_and_national_party
107212;HomeAndrey NOVAKOV;https://www.europarl.europa.eu/meps/en/107212;;https://twitter.com/andreynovakov;andreynovakov;Group of the European People's Party (Christian Democrats);Bulgaria;Citizens for European Development of Bulgaria (Bulgaria);"Bulgaria
						 
							 - Citizens for European Development of Bulgaria (Bulgaria)"
257049;HomeMirosława NYKIEL;https://www.europarl.europa.eu/meps/en/257049;;https://x.com/MiroslawaNykiel;MiroslawaNykiel;Group of the European People's Party (Christian Democrats);Poland;Platforma Obywatelska (Poland);"Poland
						 
							 - Platforma Obywatelska (Poland)"
257058;HomeDaniel OBAJTEK;https://www.europarl.europa.eu/meps/en/257058;;;;European Conservatives and Reformists Group;Poland;Prawo i Sprawiedliwość (Poland);"Poland
						 
							 - Prawo i Sprawiedliwość (Poland)"
257010;HomeĽudovít ÓDOR;https://www.europarl.europa.eu/meps/en/257010;;;;Renew Europe Group;Slovakia;Progresívne Slovensko (Slovakia);"Slovakia
						 
							 - Progresívne Slovensko (Slovakia)"
197432;HomeJan-Christoph OETJEN;https://www.europarl.europa.eu/meps/en/197432;;https://twitter.com/jcoetjen;jcoetjen;Renew Europe Group;Germany;Freie Demokratische Partei (Germany);"Germany
						 
							 - Freie Demokratische Partei (Germany)"
198076;HomeMaria OHISALO;https://www.europarl.europa.eu/meps/en/198076;;;;Group of the Greens/European Free Alliance;Finland;Vihreä liitto (Finland);"Finland
						 
							 - Vihreä liitto (Finland)"
257083;HomeJoão OLIVEIRA;https://www.europarl.europa.eu/meps/en/257083;;;;The Left group in the European Parliament - GUE/NGL;Portugal;Partido Comunista Português (Portugal);"Portugal
						 
							 - Partido Comunista Português (Portugal)"
197687;HomePhilippe OLIVIER;https://www.europarl.europa.eu/meps/en/197687;;;;Patriots for Europe Group;France;Rassemblement national (France);"France
						 
							 - Rassemblement national (France)"
30482;HomeYounous OMARJEE;https://www.europarl.europa.eu/meps/en/30482;;https://twitter.com/younousomarjee;younousomarjee;The Left group in the European Parliament - GUE/NGL;France;La France Insoumise (France);"France
						 
							 - La France Insoumise (France)"
257018;HomeBranislav ONDRUŠ;https://www.europarl.europa.eu/meps/en/257018;;;;Non-attached Members;Slovakia;Hlas – sociálna demokracia (Slovakia);"Slovakia
						 
							 - Hlas – sociálna demokracia (Slovakia)"
257238;HomeAodhán Ó RÍORDÁIN;https://www.europarl.europa.eu/meps/en/257238;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Ireland;Labour Party (Ireland);"Ireland
						 
							 - Labour Party (Ireland)"
2152;HomeLeoluca ORLANDO;https://www.europarl.europa.eu/meps/en/2152;;https://x.com/leolucaorlando1?lang=en;leolucaorlando1;Group of the Greens/European Free Alliance;Italy;Independent (Italy);"Italy
						 
							 - Independent (Italy)"
257086;HomeJacek OZDOBA;https://www.europarl.europa.eu/meps/en/257086;;;;European Conservatives and Reformists Group;Poland;Prawo i Sprawiedliwość (Poland);"Poland
						 
							 - Prawo i Sprawiedliwość (Poland)"
129073;HomeUrmas PAET;https://www.europarl.europa.eu/meps/en/129073;;https://twitter.com/urmaspaet;urmaspaet;Renew Europe Group;Estonia;Eesti Reformierakond (Estonia);"Estonia
						 
							 - Eesti Reformierakond (Estonia)"
256993;HomeLeire PAJÍN;https://www.europarl.europa.eu/meps/en/256993;;;;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Spain;Partido Socialista Obrero Español (Spain);"Spain
						 
							 - Partido Socialista Obrero Español (Spain)"
257135;HomeValentina PALMISANO;https://www.europarl.europa.eu/meps/en/257135;;;;The Left group in the European Parliament - GUE/NGL;Italy;Movimento 5 Stelle (Italy);"Italy
						 
							 - Movimento 5 Stelle (Italy)"
256989;HomeFidias PANAYIOTOU;https://www.europarl.europa.eu/meps/en/256989;;https://x.com/fidias0;fidias0;Non-attached Members;Cyprus;Independent (Cyprus);"Cyprus
						 
							 - Independent (Cyprus)"
125093;HomeKostas PAPADAKIS;https://www.europarl.europa.eu/meps/en/125093;;;;Non-attached Members;Greece;Communist Party of Greece (Greece);"Greece
						 
							 - Communist Party of Greece (Greece)"
